score_type,score_time
ScoringDeck,0 days 00:00:00.942786
ScoringDeck,0 days 00:00:00.902979
ScoringDeck,0 days 00:00:00.929008
ScoringDeck,0 days 00:00:00.746377
ScoringDeck,0 days 00:00:00.488462
ScoringDeck,0 days 00:00:00.487349
ScoringDeck,0 days 00:00:00.473893
ScoringDeck,0 days 00:00:00.501918
ScoringDeck,0 days 00:00:00.533085
ScoringDeck,0 days 00:00:00.506445
ScoringDeck,0 days 00:00:00.490286
ScoringDeck,0 days 00:00:00.441222
ScoringDeck,0 days 00:00:00.535268
ScoringDeck,0 days 00:00:00.463735
ScoringDeck,0 days 00:00:00.501241
ScoringDeck,0 days 00:00:00.530472
ScoringDeck,0 days 00:00:00.529115
ScoringDeck,0 days 00:00:00.516641
ScoringDeck,0 days 00:00:00.547201
ScoringDeck,0 days 00:00:00.474171
ScoringDeck,0 days 00:00:00.533224
ScoringDeck,0 days 00:00:00.619980
ScoringDeck,0 days 00:00:00.584339
ScoringDeck,0 days 00:00:00.472066
ScoringDeck,0 days 00:00:00.496859
ScoringDeck,0 days 00:00:00.465128
ScoringDeck,0 days 00:00:00.473347
ScoringDeck,0 days 00:00:00.562395
ScoringDeck,0 days 00:00:00.538359
ScoringDeck,0 days 00:00:00.550903
ScoringDeck,0 days 00:00:00.472172
ScoringDeck,0 days 00:00:00.496179
ScoringDeck,0 days 00:00:00.486492
ScoringDeck,0 days 00:00:00.504424
ScoringDeck,0 days 00:00:00.635263
ScoringDeck,0 days 00:00:00.548886
ScoringDeck,0 days 00:00:00.853797
ScoringDeck,0 days 00:00:00.521144
ScoringDeck,0 days 00:00:00.475471
ScoringDeck,0 days 00:00:00.499684
ScoringDeck,0 days 00:00:00.518010
ScoringDeck,0 days 00:00:00.528966
ScoringDeck,0 days 00:00:00.461414
ScoringDeck,0 days 00:00:00.510843
ScoringDeck,0 days 00:00:00.514708
ScoringDeck,0 days 00:00:00.498502
ScoringDeck,0 days 00:00:00.543892
ScoringDeck,0 days 00:00:00.546840
ScoringDeck,0 days 00:00:00.533385
ScoringDeck,0 days 00:00:00.554928
ScoringDeck,0 days 00:00:00.664966
ScoringDeck,0 days 00:00:00.588136
ScoringDeck,0 days 00:00:00.603702
ScoringDeck,0 days 00:00:00.768085
ScoringDeck,0 days 00:00:00.651509
ScoringDeck,0 days 00:00:00.506872
ScoringDeck,0 days 00:00:00.506358
ScoringDeck,0 days 00:00:00.492819
ScoringDeck,0 days 00:00:00.553602
ScoringDeck,0 days 00:00:00.594614
ScoringDeck,0 days 00:00:00.603844
ScoringDeck,0 days 00:00:00.670686
ScoringDeck,0 days 00:00:00.537758
ScoringDeck,0 days 00:00:00.558412
ScoringDeck,0 days 00:00:00.496266
ScoringDeck,0 days 00:00:00.505008
ScoringDeck,0 days 00:00:00.505322
ScoringDeck,0 days 00:00:00.595560
ScoringDeck,0 days 00:00:00.562479
ScoringDeck,0 days 00:00:00.479371
ScoringDeck,0 days 00:00:00.479556
ScoringDeck,0 days 00:00:00.465043
ScoringDeck,0 days 00:00:00.462330
ScoringDeck,0 days 00:00:00.501937
ScoringDeck,0 days 00:00:00.577448
ScoringDeck,0 days 00:00:00.527089
ScoringDeck,0 days 00:00:00.498868
ScoringDeck,0 days 00:00:00.458613
ScoringDeck,0 days 00:00:00.495389
ScoringDeck,0 days 00:00:00.470819
ScoringDeck,0 days 00:00:00.517529
ScoringDeck,0 days 00:00:00.614235
ScoringDeck,0 days 00:00:00.615987
ScoringDeck,0 days 00:00:00.621255
ScoringDeck,0 days 00:00:00.631766
ScoringDeck,0 days 00:00:00.527741
ScoringDeck,0 days 00:00:00.460630
ScoringDeck,0 days 00:00:00.481689
ScoringDeck,0 days 00:00:00.621766
ScoringDeck,0 days 00:00:00.556241
ScoringDeck,0 days 00:00:00.566887
ScoringDeck,0 days 00:00:00.489033
ScoringDeck,0 days 00:00:00.531477
ScoringDeck,0 days 00:00:00.543936
ScoringDeck,0 days 00:00:00.520004
ScoringDeck,0 days 00:00:00.515840
ScoringDeck,0 days 00:00:00.573017
ScoringDeck,0 days 00:00:00.877689
