score_type,score_time
ScoringDeckPd,0 days 00:00:00.021556
ScoringDeckPd,0 days 00:00:00.020360
ScoringDeckPd,0 days 00:00:00.019301
ScoringDeckPd,0 days 00:00:00.020755
ScoringDeckPd,0 days 00:00:00.020207
ScoringDeckPd,0 days 00:00:00.022600
ScoringDeckPd,0 days 00:00:00.022423
ScoringDeckPd,0 days 00:00:00.017676
ScoringDeckPd,0 days 00:00:00.012471
ScoringDeckPd,0 days 00:00:00.023698
ScoringDeckPd,0 days 00:00:00.015758
ScoringDeckPd,0 days 00:00:00.031935
ScoringDeckPd,0 days 00:00:00.015890
ScoringDeckPd,0 days 00:00:00.017637
ScoringDeckPd,0 days 00:00:00.016477
ScoringDeckPd,0 days 00:00:00.024132
ScoringDeckPd,0 days 00:00:00.011915
ScoringDeckPd,0 days 00:00:00.017802
ScoringDeckPd,0 days 00:00:00.026794
ScoringDeckPd,0 days 00:00:00.021783
ScoringDeckPd,0 days 00:00:00.021241
ScoringDeckPd,0 days 00:00:00.018031
ScoringDeckPd,0 days 00:00:00.019537
ScoringDeckPd,0 days 00:00:00.011630
ScoringDeckPd,0 days 00:00:00.020214
ScoringDeckPd,0 days 00:00:00.007693
ScoringDeckPd,0 days 00:00:00.017976
ScoringDeckPd,0 days 00:00:00.023558
ScoringDeckPd,0 days 00:00:00.014023
ScoringDeckPd,0 days 00:00:00.018029
ScoringDeckPd,0 days 00:00:00.024784
ScoringDeckPd,0 days 00:00:00.031919
ScoringDeckPd,0 days 00:00:00.016014
ScoringDeckPd,0 days 00:00:00.016657
ScoringDeckPd,0 days 00:00:00.016048
ScoringDeckPd,0 days 00:00:00.022353
ScoringDeckPd,0 days 00:00:00.007730
ScoringDeckPd,0 days 00:00:00.017746
ScoringDeckPd,0 days 00:00:00.020541
ScoringDeckPd,0 days 00:00:00.027327
ScoringDeckPd,0 days 00:00:00.031754
ScoringDeckPd,0 days 00:00:00.010216
ScoringDeckPd,0 days 00:00:00.015695
ScoringDeckPd,0 days 00:00:00.027131
ScoringDeckPd,0 days 00:00:00.027698
ScoringDeckPd,0 days 00:00:00.022037
ScoringDeckPd,0 days 00:00:00.027206
ScoringDeckPd,0 days 00:00:00.019126
ScoringDeckPd,0 days 00:00:00.023426
ScoringDeckPd,0 days 00:00:00.024098
ScoringDeckPd,0 days 00:00:00.025188
ScoringDeckPd,0 days 00:00:00.022685
ScoringDeckPd,0 days 00:00:00.020100
ScoringDeckPd,0 days 00:00:00.024485
ScoringDeckPd,0 days 00:00:00.028405
ScoringDeckPd,0 days 00:00:00.022335
ScoringDeckPd,0 days 00:00:00.021915
ScoringDeckPd,0 days 00:00:00.031900
